symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-02-06 00:00:00+00:00,130.29,130.5,128.9,129.13,26845924,30.6562202916,30.7056316529,30.3291641384,30.3832813436,107383696,0.0,1.0
AAPL,2017-02-07 00:00:00+00:00,131.53,132.09,130.45,130.54,38183841,30.9479826153,31.0797462454,30.693867043,30.7150433407,152735364,0.0,1.0
AAPL,2017-02-08 00:00:00+00:00,132.04,132.22,131.22,131.35,23004072,31.0679816356,31.110334231,30.8750420344,30.90563002,92016288,0.0,1.0
AAPL,2017-02-09 00:00:00+00:00,132.42,132.445,131.12,131.65,28349859,31.2915092223,31.2974168476,30.9843127113,31.1095543658,113399436,0.57,1.0
AAPL,2017-02-10 00:00:00+00:00,132.12,132.94,132.05,132.46,20065458,31.2206177198,31.4143878268,31.2040763692,31.3009614227,80261832,0.0,1.0
AAPL,2017-02-13 00:00:00+00:00,133.29,133.82,132.75,133.08,23035421,31.4970945797,31.6223362342,31.3694898751,31.4474705279,92141684,0.0,1.0
AAPL,2017-02-14 00:00:00+00:00,135.02,135.09,133.25,133.47,33226223,31.9059022444,31.922443595,31.4876423794,31.5396294812,132904892,0.0,1.0
AAPL,2017-02-15 00:00:00+00:00,135.51,136.27,134.62,135.52,35623100,32.0216916985,32.201283505,31.811380241,32.0240547486,142492400,0.0,1.0
AAPL,2017-02-16 00:00:00+00:00,135.345,135.9,134.8398,135.67,22584555,31.9827013721,32.1138506518,31.8633200819,32.0595004999,90338220,0.0,1.0
AAPL,2017-02-17 00:00:00+00:00,135.72,135.83,135.1,135.1,22198197,32.0713157503,32.0973093012,31.9248066451,31.9248066451,88792788,0.0,1.0
AAPL,2017-02-21 00:00:00+00:00,136.7,136.75,135.98,136.23,24507156,32.3028946586,32.314709909,32.1327550525,32.1918313046,98028624,0.0,1.0
AAPL,2017-02-22 00:00:00+00:00,137.11,137.12,136.11,136.43,20836932,32.3997797121,32.4021427622,32.1634747036,32.2390923063,83347728,0.0,1.0
AAPL,2017-02-23 00:00:00+00:00,136.53,137.48,136.3,137.38,20788186,32.2627228072,32.4872125652,32.2083726552,32.4635820644,83152744,0.0,1.0
AAPL,2017-02-24 00:00:00+00:00,136.66,136.66,135.28,135.91,21776585,32.2934424583,32.2934424583,31.9673415466,32.1162137019,87106340,0.0,1.0
AAPL,2017-02-27 00:00:00+00:00,136.93,137.435,136.28,137.14,20257426,32.3572448106,32.4765788398,32.2036465551,32.4068688623,81029704,0.0,1.0
AAPL,2017-02-28 00:00:00+00:00,136.99,137.435,136.7,137.08,23482860,32.3714231111,32.4765788398,32.3028946586,32.3926905618,93931440,0.0,1.0
AAPL,2017-03-01 00:00:00+00:00,139.79,140.15,137.595,137.89,36414585,33.0330771348,33.1181469379,32.5143876412,32.5840976187,145658340,0.0,1.0
AAPL,2017-03-02 00:00:00+00:00,138.96,140.2786,138.76,140.0,26210984,32.8369439778,33.148535762,32.7896829761,33.0827011866,104843936,0.0,1.0
AAPL,2017-03-03 00:00:00+00:00,139.78,139.83,138.59,138.78,21571121,33.0307140847,33.0425293351,32.7495111246,32.7944090762,86284484,0.0,1.0
AAPL,2017-03-06 00:00:00+00:00,139.34,139.77,138.5959,139.365,21750044,32.926739881,33.0283510346,32.7509053242,32.9326475062,87000176,0.0,1.0
AAPL,2017-03-07 00:00:00+00:00,139.52,139.98,138.79,139.06,17446297,32.9692747825,33.0779750864,32.7967721263,32.8605744786,69785188,0.0,1.0
AAPL,2017-03-08 00:00:00+00:00,139.0,139.8,138.82,138.95,18707236,32.8463961781,33.0354401849,32.8038612766,32.8345809277,74828944,0.0,1.0
AAPL,2017-03-09 00:00:00+00:00,138.68,138.79,137.05,138.74,22155904,32.7707785754,32.7967721263,32.3856014116,32.7849568759,88623616,0.0,1.0
AAPL,2017-03-10 00:00:00+00:00,139.14,139.3571,138.64,139.25,19612801,32.8794788793,32.9307806966,32.7613263751,32.9054724302,78451204,0.0,1.0
AAPL,2017-03-13 00:00:00+00:00,139.2,139.43,138.82,138.85,17421717,32.8936571798,32.9480073318,32.8038612766,32.8109504268,69686868,0.0,1.0
AAPL,2017-03-14 00:00:00+00:00,138.99,139.65,138.84,139.3,15309065,32.844033128,32.9999944336,32.8085873768,32.9172876807,61236260,0.0,1.0
AAPL,2017-03-15 00:00:00+00:00,140.46,140.7501,139.025,139.41,25691774,33.1914014905,33.2599535734,32.8523038033,32.9432812316,102767096,0.0,1.0
AAPL,2017-03-16 00:00:00+00:00,140.69,141.02,140.26,140.72,19231998,33.2457516424,33.3237322952,33.1441404888,33.2528407927,76927992,0.0,1.0
AAPL,2017-03-17 00:00:00+00:00,139.99,141.0,139.89,141.0,43884952,33.0803381365,33.3190061951,33.0567076357,33.3190061951,175539808,0.0,1.0
AAPL,2017-03-20 00:00:00+00:00,141.46,141.5,140.23,140.4,21542038,33.427706499,33.4371586993,33.1370513385,33.17722319,86168152,0.0,1.0
AAPL,2017-03-21 00:00:00+00:00,139.84,142.8,139.73,142.11,39529912,33.0448923852,33.7443552103,33.0188988343,33.5813047545,158119648,0.0,1.0
AAPL,2017-03-22 00:00:00+00:00,141.42,141.6,139.76,139.845,25860165,33.4182542986,33.4607892001,33.0259879846,33.0460739103,103440660,0.0,1.0
AAPL,2017-03-23 00:00:00+00:00,140.92,141.5844,140.61,141.26,20346301,33.3001017944,33.457102842,33.2268472418,33.3804454973,81385204,0.0,1.0
AAPL,2017-03-24 00:00:00+00:00,140.64,141.74,140.35,141.5,22395563,33.233936392,33.4938719013,33.1654079396,33.4371586993,89582252,0.0,1.0
AAPL,2017-03-27 00:00:00+00:00,140.88,141.22,138.62,139.39,23575094,33.290649594,33.3709932969,32.7566002749,32.9385551314,94300376,0.0,1.0
AAPL,2017-03-28 00:00:00+00:00,143.8,144.04,140.62,140.91,33374805,33.9806602188,34.0373734208,33.2292102918,33.2977387443,133499220,0.0,1.0
AAPL,2017-03-29 00:00:00+00:00,144.12,144.49,143.19,143.68,29189955,34.0562778215,34.1437106746,33.8365141636,33.9523036178,116759820,0.0,1.0
AAPL,2017-03-30 00:00:00+00:00,143.93,144.5,143.5,144.19,21207252,34.0113798699,34.1460737247,33.9097687163,34.0728191721,84829008,0.0,1.0
AAPL,2017-03-31 00:00:00+00:00,143.66,144.27,143.01,143.72,19661651,33.9475775176,34.0917235728,33.7939792621,33.9617558181,78646604,0.0,1.0
AAPL,2017-04-03 00:00:00+00:00,143.7,144.12,143.05,143.71,19985714,33.9570297179,34.0562778215,33.8034314624,33.959392768,79942856,0.0,1.0
AAPL,2017-04-04 00:00:00+00:00,144.77,144.89,143.17,143.25,19891354,34.209876077,34.238232678,33.8317880635,33.8506924641,79565416,0.0,1.0
AAPL,2017-04-05 00:00:00+00:00,144.02,145.46,143.81,144.22,27717854,34.0326473207,34.3729265329,33.9830232689,34.0799083224,110871416,0.0,1.0
AAPL,2017-04-06 00:00:00+00:00,143.66,144.52,143.45,144.29,21149034,33.9475775176,34.1507998249,33.8979534658,34.0964496729,84596136,0.0,1.0
AAPL,2017-04-07 00:00:00+00:00,143.34,144.18,143.27,143.73,16658543,33.8719599149,34.070456122,33.8554185643,33.9641188682,66634172,0.0,1.0
